LTR,Date,expNo1,expNo2,Min,Sec,EStmInt,EStmDrtn,Supra,Laser,illmDrtn,illmDly,MSillmInt,AD,RS,WDS,ADDrtn,HPCDrtn,CtxDrtn,recAD,recGS,MI,Thresholded
69,171128,2,2,NaN,NaN,NaN,NaN,1,0,30,20,30,NaN,5,0,21,82,37,0,0,-0.763440860215054,1
69,171128,2,2,NaN,NaN,NaN,NaN,1,1,30,20,30,NaN,0,0,11,11,0,0,0,-0.763440860215054,1
69,171128,2,3,NaN,NaN,NaN,NaN,1,1,30,20,30,NaN,5,0,18,49,31,1,0,-0.203252032520325,0
69,171128,2,3,NaN,NaN,NaN,NaN,1,0,30,20,30,NaN,5,0,22,74,37,0,0,-0.203252032520325,0
69,171129,3,1,NaN,NaN,NaN,NaN,1,0,30,20,30,NaN,5,0,9,36,27,0,0,0.217391304347826,0
69,171129,3,1,NaN,NaN,NaN,NaN,1,1,30,20,30,NaN,5,0,9,56,33,0,0,0.217391304347826,0
69,171204,1,1,NaN,NaN,NaN,NaN,1,0,30,20,30,NaN,5,0,10,85,29,1,0,-0.440677966101695,0
69,171204,1,1,NaN,NaN,NaN,NaN,1,1,30,20,30,NaN,5,0,12,33,19,0,0,-0.440677966101695,0
69,171205,3,1,NaN,NaN,NaN,NaN,1,0,30,20,30,NaN,5,0,14.058,45.98,27.254,1,0,0.25830335683061,0
69,171205,3,1,NaN,NaN,NaN,NaN,1,1,30,20,30,NaN,5,0,10.172,78.006,42.644,0,0,0.25830335683061,0
69,171205,3,2,NaN,NaN,NaN,NaN,1,1,30,20,30,NaN,5,0,11.366,75.328,39.27,1,0,-0.105984001519144,0
69,171205,3,2,NaN,NaN,NaN,NaN,1,0,30,20,30,NaN,5,0,13.298,93.188,48.56,1,1,-0.105984001519144,0
69,171206,3,1,NaN,NaN,NaN,NaN,1,0,30,20,30,NaN,5,0,9,94,32,1,0,-0.296551724137931,0
69,171206,3,1,NaN,NaN,NaN,NaN,1,1,30,20,30,NaN,5,0,12,51,33,1,0,-0.296551724137931,0
69,171213,1,1,NaN,NaN,NaN,NaN,1,1,30,20,30,NaN,5,0,9,44,35,1,0,-0.161904761904762,0
69,171213,1,1,NaN,NaN,NaN,NaN,1,0,30,20,30,NaN,5,0,10,61,45,0,0,-0.161904761904762,0
69,171213,1,2,NaN,NaN,NaN,NaN,1,0,30,20,30,NaN,5,0,11,52,41,1,0,0.1875,0
69,171213,1,2,NaN,NaN,NaN,NaN,1,1,30,20,30,NaN,5,0,16,76,46,1,0,0.1875,0
69,171213,1,3,NaN,NaN,NaN,NaN,1,0,30,20,30,NaN,5,0,12,64,46,1,0,0.0985915492957746,0
69,171213,1,3,NaN,NaN,NaN,NaN,1,1,30,20,30,NaN,5,0,18,78,47,1,0,0.0985915492957746,0
69,171213,1,4,NaN,NaN,NaN,NaN,1,1,30,20,30,NaN,5,0,16,79,54,0,0,-0.0919540229885057,0
69,171213,1,4,NaN,NaN,NaN,NaN,1,0,30,20,30,NaN,5,0,13,95,59,1,0,-0.0919540229885057,0
69,171219,1,1,NaN,NaN,NaN,NaN,1,0,30,0,30,NaN,5,0,14.634,27.494,10.1,0,0,0.355478456561489,0
69,171219,1,1,NaN,NaN,NaN,NaN,1,1,30,0,30,NaN,5,0,17.688,57.822,7.934,1,0,0.355478456561489,0
69,171219,1,1,NaN,NaN,NaN,NaN,1,0,30,20,30,NaN,5,0,14.746,46.82,6.702,0,0,0.146056759320055,0
69,171219,1,1,NaN,NaN,NaN,NaN,1,1,30,20,30,NaN,5,0,18.416,62.836,14.722,0,0,0.146056759320055,0
69,171219,1,1,NaN,NaN,NaN,NaN,1,0,30,40,30,NaN,5,0,18.236,75.992,23.088,1,1,0.0471581006357127,0
69,171219,1,1,NaN,NaN,NaN,NaN,1,1,30,40,30,NaN,5,0,15.666,83.514,38.926,1,0,0.0471581006357127,0
69,171219,1,1,NaN,NaN,NaN,NaN,1,0,30,60,30,NaN,5,0,20.386,43.866,23.654,1,1,0.0910673214396718,0
69,171219,1,1,NaN,NaN,NaN,NaN,1,1,30,60,30,NaN,5,0,12.954,52.656,47.398,0,0,0.0910673214396718,0
69,171220,1,1,NaN,NaN,NaN,NaN,1,1,30,60,30,NaN,5,0,6,25,19,1,0,-0.342105263157895,0
69,171220,1,1,NaN,NaN,NaN,NaN,1,0,30,60,30,NaN,5,0,8,51,36,1,0,-0.342105263157895,0
69,171220,1,1,NaN,NaN,NaN,NaN,1,1,30,40,30,NaN,5,0,12,36,21,0,0,-0.454545454545455,1
69,171220,1,1,NaN,NaN,NaN,NaN,1,0,30,40,30,NaN,5,0,12,96,47,0,0,-0.454545454545455,1
69,171220,1,1,NaN,NaN,NaN,NaN,1,1,30,20,30,NaN,5,0,14,72,39,1,0,-0.167630057803468,0
69,171220,1,1,NaN,NaN,NaN,NaN,1,0,30,20,30,NaN,5,0,15,101,35,1,0,-0.167630057803468,0
69,171220,1,1,NaN,NaN,NaN,NaN,1,1,30,0,30,NaN,5,0,19,70,34,1,0,0.217391304347826,0
69,171220,1,1,NaN,NaN,NaN,NaN,1,0,30,0,30,NaN,5,0,18,45,27,0,0,0.217391304347826,0
69,171221,1,1,NaN,NaN,NaN,NaN,1,1,30,60,30,NaN,5,0,17,39,22,1,0,-0.0602409638554217,0
69,171221,1,1,NaN,NaN,NaN,NaN,1,0,30,60,30,NaN,5,0,11,44,26,0,0,-0.0602409638554217,0
69,171221,1,1,NaN,NaN,NaN,NaN,1,1,30,40,30,NaN,5,0,15,49,26,1,0,0.342465753424658,0
69,171221,1,1,NaN,NaN,NaN,NaN,1,0,30,40,30,NaN,4,0,17,24,7,1,0,0.342465753424658,0
69,171221,1,1,NaN,NaN,NaN,NaN,1,1,30,20,30,NaN,5,0,17,46,25,0,0,0.0337078651685393,0
69,171221,1,1,NaN,NaN,NaN,NaN,1,0,30,20,30,NaN,5,0,17,43,23,1,0,0.0337078651685393,0
69,171221,1,1,NaN,NaN,NaN,NaN,1,1,30,0,30,NaN,5,0,19,50,30,0,0,-0.404761904761905,0
69,171221,1,1,NaN,NaN,NaN,NaN,1,0,30,0,30,NaN,5,0,16,118,37,0,0,-0.404761904761905,0
69,171227,1,1,NaN,NaN,NaN,NaN,1,1,30,0,30,NaN,1,0,35,35,0,0,0,-0.0789473684210526,0
69,171227,1,1,NaN,NaN,NaN,NaN,1,0,30,0,30,NaN,5,0,16,41,25,0,0,-0.0789473684210526,0
69,171227,1,1,NaN,NaN,NaN,NaN,1,0,30,20,30,NaN,5,0,14,30,16,0,0,0.285714285714286,0
69,171227,1,1,NaN,NaN,NaN,NaN,1,1,30,20,30,NaN,3,0,16,54,38,1,0,0.285714285714286,0
69,171227,1,1,NaN,NaN,NaN,NaN,1,0,30,40,30,NaN,4,0,18,65,47,0,0,0.12751677852349,0
69,171227,1,1,NaN,NaN,NaN,NaN,1,1,30,40,30,NaN,4,0,14,84,23,0,0,0.12751677852349,0
69,171227,1,1,NaN,NaN,NaN,NaN,1,0,30,60,30,NaN,5,0,16,55,39,1,0,-0.00917431192660551,0
69,171227,1,1,NaN,NaN,NaN,NaN,1,1,30,60,30,NaN,5,0,11,54,43,0,0,-0.00917431192660551,0
69,171228,1,1,NaN,NaN,NaN,NaN,1,1,30,60,30,NaN,5,0,7,72,57,0,0,0.2,0
69,171228,1,1,NaN,NaN,NaN,NaN,1,0,30,60,30,NaN,5,0,17,48,31,0,0,0.2,0
69,171228,1,1,NaN,NaN,NaN,NaN,1,1,30,40,30,NaN,5,0,20,57,33,1,0,0.0458715596330275,0
69,171228,1,1,NaN,NaN,NaN,NaN,1,0,30,40,30,NaN,5,0,16,52,25,1,0,0.0458715596330275,0
69,171228,1,1,NaN,NaN,NaN,NaN,1,1,30,20,30,NaN,5,0,21,53,32,0,0,-0.138211382113821,0
69,171228,1,1,NaN,NaN,NaN,NaN,1,0,30,20,30,NaN,5,0,27,70,22,1,0,-0.138211382113821,0
69,171228,1,1,NaN,NaN,NaN,NaN,1,1,30,0,30,NaN,5,0,24,63,34,1,0,-0.0869565217391304,0
69,171228,1,1,NaN,NaN,NaN,NaN,1,0,30,0,30,NaN,5,0,25,75,41,1,0,-0.0869565217391304,0
85,180808,2,1,NaN,NaN,100,2,1,0,30,0,45,NaN,5,0,8,45,34,NaN,NaN,0.0526315789473684,0
85,180808,2,1,NaN,NaN,100,2,1,1,30,0,45,NaN,5,0,6,50,36,NaN,NaN,0.0526315789473684,0
86,180808,2,1,NaN,NaN,200,2,1,1,30,0,45,NaN,4,0,16,45,27,NaN,NaN,-0.166666666666667,0
86,180808,2,1,NaN,NaN,200,2,1,0,30,0,45,NaN,4,0,20,63,21,NaN,NaN,-0.166666666666667,0
85,180813,2,1,NaN,NaN,100,2,1,0,30,20,45,NaN,1,2,0,17,0,NaN,NaN,0.546666666666667,0
85,180813,2,1,NaN,NaN,100,2,1,1,30,20,45,NaN,4,0,11,58,13,NaN,NaN,0.546666666666667,0
85,180813,2,1,NaN,NaN,100,2,1,0,30,40,45,NaN,5,0,6,49,33,NaN,NaN,0.02,0
85,180813,2,1,NaN,NaN,100,2,1,1,30,40,45,NaN,5,0,7,51,44,NaN,NaN,0.02,0
85,180813,2,1,NaN,NaN,100,2,1,0,30,60,45,NaN,5,0,6,54,48,NaN,NaN,0.0181818181818182,0
85,180813,2,1,NaN,NaN,100,2,1,1,30,60,45,NaN,5,0,11,56,45,NaN,NaN,0.0181818181818182,0
86,180813,2,1,NaN,NaN,200,2,1,1,30,20,45,NaN,1,0,0,29,0,NaN,NaN,-0.183098591549296,0
86,180813,2,1,NaN,NaN,200,2,1,0,30,20,45,NaN,2,4,0,42,0,NaN,NaN,-0.183098591549296,0
86,180813,2,1,NaN,NaN,200,2,1,1,30,40,45,NaN,4,2,16,64,20,NaN,NaN,0.0158730158730159,0
86,180813,2,1,NaN,NaN,200,2,1,0,30,40,45,NaN,5,0,14,62,44,NaN,NaN,0.0158730158730159,0
86,180813,2,1,NaN,NaN,200,2,1,1,30,60,45,NaN,4,0,24,67,43,NaN,NaN,-0.0289855072463768,0
86,180813,2,1,NaN,NaN,200,2,1,0,30,60,45,NaN,5,0,33,71,38,NaN,NaN,-0.0289855072463768,0
85,180814,2,1,NaN,NaN,75,2,1,0,30,0,45,NaN,5,0,11,55,44,NaN,NaN,-0.594202898550725,1
85,180814,2,1,NaN,NaN,75,2,1,1,30,0,45,NaN,0,0,0,14,0,NaN,NaN,-0.594202898550725,1
85,180814,2,1,NaN,NaN,75,2,1,0,30,20,45,NaN,5,0,6,55,37,NaN,NaN,-0.0891089108910891,0
85,180814,2,1,NaN,NaN,75,2,1,1,30,20,45,NaN,5,0,8,46,38,NaN,NaN,-0.0891089108910891,0
85,180814,2,1,NaN,NaN,75,2,1,0,30,40,45,NaN,5,0,9,52,38,NaN,NaN,-0.0612244897959184,0
85,180814,2,1,NaN,NaN,75,2,1,1,30,40,45,NaN,5,0,7,46,39,NaN,NaN,-0.0612244897959184,0
85,180814,2,1,NaN,NaN,75,2,1,0,30,60,45,NaN,5,0,8,53,45,NaN,NaN,-0.191011235955056,0
85,180814,2,1,NaN,NaN,75,2,1,1,30,60,45,NaN,5,0,10,36,26,NaN,NaN,-0.191011235955056,0
86,180814,2,1,NaN,NaN,175,2,1,1,30,0,45,NaN,3,0,0,39,0,NaN,NaN,0.258064516129032,0
86,180814,2,1,NaN,NaN,175,2,1,0,30,0,45,NaN,1,0,0,23,0,NaN,NaN,0.258064516129032,0
86,180814,2,1,NaN,NaN,200,2,1,1,30,20,45,NaN,4,0,12,60,28,NaN,NaN,0.0810810810810811,0
86,180814,2,1,NaN,NaN,200,2,1,0,30,20,45,NaN,5,0,17,51,30,NaN,NaN,0.0810810810810811,0
86,180814,2,1,NaN,NaN,190,2,1,1,30,40,45,NaN,5,0,19,54,38,NaN,NaN,0.0588235294117647,0
86,180814,2,1,NaN,NaN,190,2,1,0,30,40,45,NaN,5,0,15,48,30,NaN,NaN,0.0588235294117647,0
86,180814,2,1,NaN,NaN,190,2,1,1,30,60,45,NaN,5,0,22,46,22,NaN,NaN,-0.0315789473684211,0
86,180814,2,1,NaN,NaN,190,2,1,0,30,60,45,NaN,5,0,16,49,33,NaN,NaN,-0.0315789473684211,0
85,180815,2,1,NaN,NaN,75,2,1,0,30,60,45,NaN,5,0,9,63,37,NaN,NaN,-0.155963302752294,0
85,180815,2,1,NaN,NaN,75,2,1,1,30,60,45,NaN,4,0,7,46,39,NaN,NaN,-0.155963302752294,0
85,180815,2,1,NaN,NaN,70,2,1,0,30,40,45,NaN,5,0,7,58,41,NaN,NaN,0.0333333333333333,0
85,180815,2,1,NaN,NaN,70,2,1,1,30,40,45,NaN,4,0,8,62,40,NaN,NaN,0.0333333333333333,0
85,180815,2,1,NaN,NaN,70,2,1,0,30,40,45,NaN,5,0,7,54,41,NaN,NaN,0.114754098360656,0
85,180815,2,1,NaN,NaN,70,2,1,0,30,20,45,NaN,5,0,16,54,38,NaN,NaN,0.114754098360656,0
85,180815,2,1,NaN,NaN,70,2,1,1,30,20,45,NaN,5,0,22,68,37,NaN,NaN,0.0769230769230769,0
85,180815,2,1,NaN,NaN,70,2,1,1,30,40,45,NaN,4,0,13,63,40,NaN,NaN,0.0769230769230769,0
85,180815,2,1,NaN,NaN,65,2,1,0,30,0,45,NaN,5,0,0,14,0,NaN,NaN,0.243243243243243,0
85,180815,2,1,NaN,NaN,65,2,1,1,30,0,45,NaN,0,0,19,23,4,NaN,NaN,0.243243243243243,0
85,180815,2,1,NaN,NaN,65,2,1,0,30,0,45,NaN,5,0,16,72,50,NaN,NaN,-0.674418604651163,1
85,180815,2,1,NaN,NaN,65,2,1,1,30,0,45,NaN,0,0,0,14,0,NaN,NaN,-0.674418604651163,1
86,180815,2,1,NaN,NaN,190,2,1,1,30,60,45,NaN,5,0,15,52,24,NaN,NaN,0.0721649484536082,0
86,180815,2,1,NaN,NaN,190,2,1,0,30,60,45,NaN,5,0,17,45,21,NaN,NaN,0.0721649484536082,0
86,180815,2,1,NaN,NaN,180,2,1,1,30,40,45,NaN,5,1,16,60,31,NaN,NaN,0.153846153846154,0
86,180815,2,1,NaN,NaN,180,2,1,0,30,40,45,NaN,5,0,18,44,23,NaN,NaN,0.153846153846154,0
86,180815,2,1,NaN,NaN,180,2,1,1,30,40,45,NaN,5,1,17,56,30,NaN,NaN,0.0566037735849057,0
86,180815,2,1,NaN,NaN,180,2,1,0,30,40,45,NaN,5,0,22,50,28,NaN,NaN,0.0566037735849057,0
86,180815,2,1,NaN,NaN,170,2,1,1,30,20,45,NaN,5,0,25,47,22,NaN,NaN,-0.06,0
86,180815,2,1,NaN,NaN,170,2,1,0,30,20,45,NaN,5,0,20,53,33,NaN,NaN,-0.06,0
86,180815,2,1,NaN,NaN,160,2,1,1,30,0,45,NaN,5,0,28,48,20,NaN,NaN,-0.0679611650485437,0
86,180815,2,1,NaN,NaN,160,2,1,0,30,0,45,NaN,4,0,26,55,29,NaN,NaN,-0.0679611650485437,0
86,180815,2,1,NaN,NaN,160,2,1,1,30,0,45,NaN,5,0,24,54,24,NaN,NaN,0.384615384615385,0
86,180815,2,1,NaN,NaN,160,2,1,0,30,0,45,NaN,4,0,16,24,8,NaN,NaN,0.384615384615385,0
85,180816,2,1,NaN,NaN,70,2,1,0,30,0,45,NaN,2,1,0,32,0,NaN,NaN,-0.882352941176471,1
85,180816,2,2,NaN,NaN,70,2,1,1,30,0,45,NaN,2,1,0,2,0,NaN,NaN,-0.882352941176471,1
85,180816,2,3,NaN,NaN,70,2,1,0,30,20,45,NaN,2,0,0,31,0,NaN,NaN,0.101449275362319,0
85,180816,2,3,NaN,NaN,70,2,1,1,30,20,45,NaN,2,0,0,38,0,NaN,NaN,0.101449275362319,0
85,180816,2,3,NaN,NaN,75,2,1,0,30,20,45,NaN,4,0,20,42,22,NaN,NaN,0.192307692307692,0
85,180816,2,3,NaN,NaN,75,2,1,1,30,20,45,NaN,5,0,16,62,27,NaN,NaN,0.192307692307692,0
85,180816,2,3,NaN,NaN,75,2,1,0,30,40,45,NaN,2,0,0,34,0,NaN,NaN,0.170731707317073,0
85,180816,2,3,NaN,NaN,75,2,1,1,30,40,45,NaN,5,0,11,48,32,NaN,NaN,0.170731707317073,0
85,180816,2,3,NaN,NaN,80,2,1,0,30,60,45,NaN,5,0,4,63,47,NaN,NaN,-0.465116279069767,1
85,180816,2,3,NaN,NaN,80,2,1,1,30,60,45,NaN,1,0,0,23,0,NaN,NaN,-0.465116279069767,1
85,180816,2,3,NaN,NaN,80,2,1,0,30,60,45,NaN,1,0,0,26,0,NaN,NaN,0.0714285714285714,0
85,180816,2,3,NaN,NaN,80,2,1,1,30,60,45,NaN,1,0,0,30,0,NaN,NaN,0.0714285714285714,0
