LTR,Date,expNo1,expNo2,Min,Sec,EStmInt,EStmDrtn,Supra,Laser,illmDrtn,illmDly,MSillmInt,AD,RS,WDS,ADDrtn,HPCDrtn,CtxDrtn,recAD,recGS,MI,Thresholded
82,190130,1,1,1,20,100,2,1,0,30,0,45,1,5,0,1.214,43.942,40.51,NaN,,-0.773356471,1
82,190130,1,1,38,20,100,2,1,1,30,0,45,1,4,0,0.398,5.616,9.154,NaN,,-0.773356471,1
82,190130,1,1,73,30,90,2,1,0,30,20,45,1,5,0,5.488,41.126,35.116,NaN,,-0.01867631,0
82,190130,1,1,108,30,90,2,1,1,30,20,45,1,5,0,5.308,39.618,33.546,NaN,,-0.01867631,0
82,190130,1,1,142,30,90,2,1,0,30,40,45,1,5,0,5.962,47.598,39.312,NaN,,-1,1
82,190130,1,1,175,30,90,2,1,1,30,40,45,1,0,0,0,0,5.448,NaN,,-1,1
82,190130,1,1,209,30,95,2,1,0,30,60,45,1,5,0,1.108,46.94,118.198,NaN,,-1,1
82,190130,1,1,241,55,95,2,1,1,30,60,45,1,0,0,2.702,0,7.744,NaN,,-1,1
83,190130,1,1,1,20,100,2,1,1,30,0,45,1,5,0,14.648,50.148,36.146,NaN,,0.015244458,0
83,190130,1,1,38,20,100,2,1,0,30,0,45,1,5,0,5.464,48.642,41.864,NaN,,0.015244458,0
83,190130,1,1,73,30,80,2,1,1,30,20,45,1,1,0,0,0,0,NaN,,-1,1
83,190130,1,1,108,30,80,2,1,0,30,20,45,1,5,0,10.876,49.514,34.242,NaN,,-1,1
83,190130,1,1,142,30,90,2,1,1,30,40,45,1,5,0,0.992,63.166,53.624,NaN,,-0.031686416,0
83,190130,1,1,175,30,90,2,1,0,30,40,45,1,5,0,4.438,67.3,55.608,NaN,,-0.031686416,0
82,190204,1,1,1,40,100,2,1,0,30,60,45,1,1,0,1.044,25.184,5.438,NaN,,0.441596452,0
82,190204,1,1,35,0,100,2,1,1,30,60,45,1,5,0,6.038,65.016,38.88,NaN,,0.441596452,0
82,190204,1,1,67,15,100,2,1,0,30,40,45,1,5,0,6.074,44.728,36.526,NaN,,-0.010505388,0
82,190204,1,1,118,30,100,2,1,1,30,40,45,1,5,0,5.194,43.798,39.14,NaN,,-0.010505388,0
82,190204,1,1,152,0,90,2,1,0,30,20,45,1,5,0,0.42,65.706,46.4,NaN,,-0.693846511,1
82,190204,1,1,183,30,90,2,1,1,30,20,45,1,1,0,0.448,11.876,8.058,NaN,,-0.693846511,1
82,190204,1,1,218,0,90,2,1,0,30,0,45,1,5,0,5.194,39.688,39.138,NaN,,-0.736284889,1
82,190204,1,1,254,0,90,2,1,1,30,0,45,1,3,0,0,6.028,12.498,NaN,,-0.736284889,1
83,190204,1,1,1,40,90,2,1,1,30,60,45,1,0,0,5.096,23.436,10.124,NaN,,-0.367961165,0
83,190204,1,1,35,0,90,2,1,0,30,60,45,1,5,0,11.444,50.724,20.138,NaN,,-0.367961165,0
83,190204,1,1,67,15,90,2,1,1,30,40,45,1,5,0,12.7,48.95,23.764,NaN,,0.125908547,0
83,190204,1,1,118,30,90,2,1,0,30,40,45,1,5,0,11.048,38.002,27.442,NaN,,0.125908547,0
83,190204,1,1,152,0,85,2,1,1,30,20,45,1,4,0,12.684,57.778,22.52,NaN,,-0.050516006,0
83,190204,1,1,183,30,85,2,1,0,30,20,45,1,5,0,15.35,63.926,39.318,NaN,,-0.050516006,0
83,190204,1,1,218,0,80,2,1,1,30,0,45,1,5,0,11.652,56.904,49.04,NaN,,-0.136994404,0
83,190204,1,1,254,0,80,2,1,0,30,0,45,1,5,0,17.924,74.97,44.206,NaN,,-0.136994404,0
82,190205,1,1,6,0,90,2,1,0,30,0,45,1,5,0,3.978,31.786,34.37,NaN,,-1,1
82,190205,1,1,32,30,90,2,1,1,30,0,45,1,3,0,4.672,0,6.624,NaN,,-1,1
82,190205,1,1,71,35,90,2,1,0,30,20,45,1,5,0,2.666,45.204,41.494,NaN,,-0.846945863,1
82,190205,1,1,103,55,90,2,1,1,30,20,45,1,3,0,3.944,3.746,6.816,NaN,,-0.846945863,1
82,190205,1,1,134,45,90,2,1,0,30,40,45,1,5,0,4.566,50.59,45.882,NaN,,-0.013137341,0
82,190205,1,1,168,0,90,2,1,1,30,40,45,1,1,0,6.228,49.278,33.042,NaN,,-0.013137341,0
82,190205,1,1,265,0,90,2,1,0,30,60,45,1,5,0,5.418,45.506,41.392,NaN,,-1,1
82,190205,1,1,295,30,90,2,1,1,30,60,45,1,0,0,0,0,5.474,NaN,,-1,1
83,190205,1,1,6,0,80,2,1,1,30,0,45,1,5,0,11.392,37.648,38.204,NaN,,-0.19447119,0
83,190205,1,1,32,30,80,2,1,0,30,0,45,1,5,0,14.16,55.826,46.55,NaN,,-0.19447119,0
