LTR,Date,expNo1,expNo2,Min,Sec,EStmInt,EStmDrtn,Supra,MSEstm,stmDrtn,stmDly,MSEstmInt,AD,RS,WDS,ADDrtn,HPCDrtn,CtxDrtn,recAD,recGS,MI,Thresholded,r,theta,X,Y,pval,z
80,180613,1,3,NaN,NaN,125,2,1,0,1,0,400,NaN,5,0,12,40,28,NaN,,0.183673469,0,0.352843095,2.79667719,-0.332062062,0.119302291,3.00E-10,21.28920076
80,180613,1,3,NaN,NaN,125,2,1,1,1,0,400,NaN,5,2,6,58,44,NaN,,0.183673469,0,0.130505276,2.293895572,-0.086356846,0.097847443,0.003274844,5.705595069
80,180613,1,3,NaN,NaN,100,2,1,0,1,20,400,NaN,5,0,10,42,32,NaN,,0.31147541,0,0.558579742,0.324927971,0.529351344,0.178321291,2.44E-28,58.34611837
80,180613,1,3,NaN,NaN,100,2,1,1,1,20,400,NaN,5,3,20,80,36,NaN,,0.31147541,0,0.45079763,0.2449494,0.43734114,0.109321687,4.19E-32,68.48463572
80,180613,1,3,NaN,NaN,75,2,1,0,1,40,400,NaN,5,0,7,30,24,NaN,,0.4,0,0.166075657,-2.589018411,-0.141359642,-0.087169807,0.047781371,3.033923611
80,180613,1,3,NaN,NaN,75,2,1,1,1,40,400,NaN,5,5,19,70,42,NaN,,0.4,0,0.407834037,-0.40967672,0.374085623,-0.162445526,6.05E-24,51.22920944
80,180613,1,3,NaN,NaN,75,2,1,0,1,60,400,NaN,5,1,17,47,30,NaN,,0.175438596,0,0.116697329,1.069963367,0.056032965,0.102364903,0.842802894,0.177037466
80,180613,1,3,NaN,NaN,75,2,1,1,1,60,400,NaN,5,7,24,67,19,NaN,,0.175438596,0,NaN,0,NaN,NaN,NaN,NaN
80,180614,1,2,NaN,NaN,200,2,1,1,1,20,400,NaN,5,8,17,63,18,NaN,,0.3125,0,0.470067332,-0.218960071,0.458843941,-0.102105507,0.108396141,2.209632965
80,180614,1,2,NaN,NaN,200,2,1,0,1,20,400,NaN,5,12,16,33,17,NaN,,0.3125,0,NaN,0,NaN,NaN,NaN,NaN
80,180614,1,2,NaN,NaN,250,2,1,1,1,40,400,NaN,4,8,15,55,40,NaN,,0.12244898,0,0.727434495,-1.682743274,-0.081264088,-0.722881105,8.64E-25,47.09532403
80,180614,1,2,NaN,NaN,250,2,1,0,1,40,400,NaN,4,1,4,43,39,NaN,,0.12244898,0,NaN,0,NaN,NaN,NaN,NaN
80,180616,1,1,NaN,NaN,150,2,1,1,1,20,400,NaN,1,0,1,20,4,NaN,,-0.534883721,1,NaN,0,NaN,NaN,NaN,NaN
80,180616,1,1,NaN,NaN,150,2,1,0,1,20,400,NaN,2,4,1,66,4,NaN,,-0.534883721,1,0.859682835,1.885895426,-0.266424903,0.817356928,1.90E-67,116.7706232
80,180616,1,1,NaN,NaN,175,2,1,1,1,0,400,NaN,0,0,1,22,5,NaN,,-0.428571429,1,NaN,0,NaN,NaN,NaN,NaN
80,180616,1,1,NaN,NaN,175,2,1,0,1,0,400,NaN,4,4,30,55,25,NaN,,-0.428571429,1,0.447739697,2.55636532,-0.37322978,0.247326438,3.45E-14,29.46921289
80,180619,1,1,NaN,NaN,175,2,1,0,1,60,400,NaN,5,0,20,53,33,NaN,,-0.558823529,1,0.533461783,2.788582671,-0.500566578,0.184430405,2.52E-18,37.5647545
80,180619,1,1,NaN,NaN,175,2,1,1,1,60,400,NaN,0,0,0,15,0,NaN,,-0.558823529,1,0.882286501,1.786437741,-0.188786399,0.861852171,1.16E-69,117.5428499
80,180619,1,1,NaN,NaN,175,2,1,1,1,60,400,NaN,0,0,0,15,0,NaN,,-0.605263158,1,NaN,0,NaN,NaN,NaN,NaN
80,180619,1,1,NaN,NaN,175,2,1,0,1,60,400,NaN,5,2,21,61,26,NaN,,-0.605263158,1,0.404741864,2.263216934,-0.258388096,0.311531007,3.31E-12,25.39147638
80,180619,1,1,NaN,NaN,175,2,1,1,1,40,400,NaN,0,0,0,12,0,NaN,,-0.647058824,1,NaN,0,NaN,NaN,NaN,NaN
80,180619,1,1,NaN,NaN,175,2,1,0,1,40,400,NaN,5,0,20,56,36,NaN,,-0.647058824,1,NaN,0,NaN,NaN,NaN,NaN
80,180619,1,1,NaN,NaN,175,2,1,1,1,40,400,NaN,0,0,0,23,0,NaN,,-0.445783133,1,0.570644702,2.681658502,-0.511344291,0.253302965,5.76E-28,57.31182618
80,180619,1,1,NaN,NaN,175,2,1,0,1,40,400,NaN,5,0,21,60,39,NaN,,-0.445783133,1,NaN,0,NaN,NaN,NaN,NaN
80,180619,1,1,NaN,NaN,175,2,1,1,1,20,400,NaN,0,0,0,23,0,NaN,,-0.41025641,1,0.782020606,2.775869805,-0.730302062,0.279669674,7.04E-50,92.34499042
80,180619,1,1,NaN,NaN,175,2,1,0,1,20,400,NaN,5,0,19,55,36,NaN,,-0.41025641,1,NaN,0,NaN,NaN,NaN,NaN
80,180619,1,1,NaN,NaN,175,2,1,1,1,0,400,NaN,0,0,0,19,0,NaN,,-0.506493506,1,0.818667715,2.722481028,-0.747812699,0.333156112,1.01E-57,103.8836083
80,180619,1,1,NaN,NaN,175,2,1,0,1,0,400,NaN,5,1,28,58,30,NaN,,-0.506493506,1,NaN,0,NaN,NaN,NaN,NaN
80,180620,1,1,NaN,NaN,175,2,1,0,1,0,400,NaN,5,1,13,57,44,NaN,,-0.461538462,1,0.396862601,2.861710874,-0.381419924,0.109630131,5.77E-07,13.85999329
80,180620,1,1,NaN,NaN,175,2,1,1,1,0,400,NaN,0,0,0,21,0,NaN,,-0.461538462,1,0.564182374,2.531313954,-0.46234087,0.323330591,1.69E-28,58.56752224
80,180620,1,1,NaN,NaN,175,2,1,0,1,20,400,NaN,5,0,13,55,29,NaN,,-0.157894737,0,0.722751996,2.21781899,-0.435684673,0.576670889,3.56E-06,10.9697794
80,180620,1,1,NaN,NaN,175,2,1,1,1,20,400,NaN,5,0,17,40,19,NaN,,-0.157894737,0,0.875917237,2.58572039,-0.744039562,0.462207894,4.82E-69,117.386344
80,180620,1,1,NaN,NaN,175,2,1,0,1,40,400,NaN,5,0,14,50,32,NaN,,0.122807018,0,NaN,0,NaN,NaN,NaN,NaN
80,180620,1,1,NaN,NaN,175,2,1,1,1,40,400,NaN,5,2,25,64,30,NaN,,0.122807018,0,0.891521853,1.684813481,-0.10142869,0.885733276,6.70E-54,89.81366727
80,180620,1,1,NaN,NaN,150,2,1,0,1,60,400,NaN,5,1,16,90,34,NaN,,-0.343283582,1,NaN,0,NaN,NaN,NaN,NaN
80,180620,1,1,NaN,NaN,150,2,1,1,1,60,400,NaN,5,0,17,44,27,NaN,,-0.343283582,1,0.543492348,1.990857169,-0.221644879,0.496243367,9.46E-26,53.16910773
